i didnt feel humiliated,sadness
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness
ive been feeling a little burdened lately wasnt sure why that was,sadness
i feel like i have to make the suffering i m seeing mean something,sadness
i feel low energy i m just thirsty,sadness
i didnt really feel that embarrassed,sadness
i feel pretty pathetic most of the time,sadness
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness
i become overwhelmed and feel defeated,sadness
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness
i was feeling listless from the need of new things something different,sadness
i found myself feeling a little discouraged that morning,sadness
i feel you know basically like a fake in the realm of science fiction,sadness
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness
i am feeling miserable but c i am also the proudest mum on earth,sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness
i can feel my ovaries aching talking to me as i like to put it,sadness
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness
i feel like a miserable piece of garbage,sadness
i feel so worthless during those times i was struggling finding work,sadness
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness
i feel like throwing away the shitty piece of shit paper,sadness
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness
